,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,9.13259246412
6,7.80364626761
7,7.14082820827
8,6.63554297348
9,6.19081977225
10,5.77602860615
11,5.38076423512
12,5.00359370686
13,4.64714454485
14,4.31611842449
15,4.01360975747
16,3.75275137429
17,3.55195035539
18,3.39377386563
19,3.27329113222
20,3.2047188306
21,3.2101282352
22,3.12631393686
23,2.99945636892
24,2.83633097939
25,2.76859311798
26,2.64566775111
27,2.35235874353
28,2.02347462558
29,1.8679099142
30,1.504634039
31,1.14432396684
32,1.24755934757
33,0.926584075285
34,0.369245949157
35,1.84717489744
36,3.21831818522
37,2.97308741374
38,2.23523838008
39,1.34681527382
40,1.15364906931
41,2.02592914696
42,2.6257312248
43,1.63857515736
44,1.79247942638
45,2.4710676241
46,3.40186646109
47,4.14993436574
48,4.3805152683
49,4.16964698869
50,3.10715305301
51,2.45342310134
52,2.26195125997
53,2.47886016778
54,2.3530076079
55,1.94908825427
56,2.0833719765
57,2.77390669743
58,2.31449938645
59,1.4234382967
60,1.77794056267
61,2.20054457633
62,1.78020705257
63,1.52773325041
64,1.48659860872
65,1.16457694162
66,2.70302183824
67,3.41104199043
68,2.35177760606
69,2.2831546577
70,2.18731516933
71,2.09177044988
72,2.09407244214
73,2.30471849433
74,2.32744375481
75,2.37570053368
76,2.82292485424
77,3.17935121393
78,3.03637286943
79,2.66636305335
80,2.21629327001
81,2.21388781013
82,3.4164018865
83,3.20445810635
84,2.01078599418
85,1.6432999174
86,1.70664810292
87,2.63078597811
88,3.25604161644
89,3.22136932429
90,2.70359810161
91,1.94487141971
92,2.75460364994
93,3.80495360792
94,3.02311590847
95,1.88767725806
96,1.48339083558
97,1.16325821892
98,0.877464918274
99,0.525052554129
100,0.0882676736579
101,0.217210421369
102,1.58799234232
103,2.65982753867
104,1.59486935071
105,0.814430184842
106,2.36347753743
107,2.96079910262
108,2.0204576568
109,1.35515142757
110,0.78625312328
111,0.607163508094
112,1.19693521877
113,2.49370618709
114,2.00970348179
115,1.02941287484
116,2.39626144561
117,2.50873283963
118,1.11656300537
119,1.73562148146
120,2.86477985092
121,3.10627707255
122,3.06114492043
123,2.92778281212
124,2.38375573915
125,2.34269296643
126,3.26862890297
127,2.67260185181
128,1.51624852341
129,1.37483980291
130,2.49416156823
131,3.90199214053
132,3.45469498413
133,2.22023956466
134,2.15560658232
135,2.86912213479
136,2.56452727935
137,1.85502957568
138,1.58650153158
139,1.45960083868
140,1.38219764735
141,1.7154728383
142,1.3408191058
143,0.364969193473
144,0.128070233537
145,1.48249022142
146,2.94958988523
147,3.23266993993
148,3.82907634236
149,4.49927561239
150,4.1721257837
151,2.95195859288
152,2.39069654513
153,2.66571267302
154,2.97442841001
155,2.99332964488
156,2.79656609295
157,2.16349214273
158,1.81393207447
159,3.25627075558
160,3.73963369368
161,2.74456448284
162,2.34607172527
163,2.43962721172
164,2.70392526081
165,2.65741808979
166,2.68763764752
167,2.62970201342
168,1.97395800943
169,2.56059284145
170,3.92928908965
171,3.4560564074
172,2.28076402
173,2.04120848437
174,2.5582805352
175,2.39912665379
176,1.62033389066
177,1.3660548065
178,1.03608300013
179,1.70630508503
180,3.08928109648
181,3.18555792459
182,2.30323422432
183,1.43165968721
184,1.02029558255
185,1.32124048715
186,1.58428753495
187,1.66796689916
188,1.41070798759
189,1.30917581151
190,2.37185313559
191,1.82181914736
192,0.966999321103
193,1.62597496949
194,2.21226647983
195,1.58964211954
196,1.96824221207
197,3.54932382881
198,4.22685318921
199,3.46431088392
200,2.13456425927
201,1.9337046349
202,2.48017129169
203,2.17551916121
204,1.34351354813
205,1.09576689645
206,1.27709069844
207,1.0183227585
208,1.72830501107
209,3.34725024291
210,2.91626366988
211,1.7480633319
212,1.65605966566
213,2.47071140061
214,2.87044403343
215,2.02375300315
216,2.07807867848
217,3.35091947348
218,2.79621429297
219,1.59812921292
220,1.88218364762
221,2.59942921488
222,3.00412458736
223,3.17132141934
224,3.13111336251
225,2.88748804842
226,2.67691902224
227,2.12523041346
228,1.57951555854
229,2.18979674016
230,2.16717400109
231,2.06845226156
232,2.04518398557
233,1.25034820105
234,1.79321593227
235,1.81873004313
236,1.38234597798
237,3.24368459143
238,4.20697670017
239,2.83533246692
240,1.86369308938
241,1.49321321753
242,1.09601117601
243,0.784986411255
244,1.58715910025
245,2.45126618641
246,2.95997723631
247,2.77428891183
248,2.44031223315
249,3.3267718746
